instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_category
5381,2011-08-17,3,0,8,2,0,3,1,1,0.66,0.6212,0.69,0.0,0,6,6,Warm
5382,2011-08-17,3,0,8,3,0,3,1,1,0.64,0.5909,0.78,0.0,1,4,5,Moderate
5383,2011-08-17,3,0,8,4,0,3,1,1,0.64,0.6061,0.73,0.0,0,5,5,Moderate
5384,2011-08-17,3,0,8,5,0,3,1,1,0.64,0.6061,0.73,0.0,0,28,28,Moderate
5385,2011-08-17,3,0,8,6,0,3,1,1,0.62,0.5909,0.78,0.0,4,101,105,Moderate
5386,2011-08-17,3,0,8,7,0,3,1,1,0.66,0.6212,0.65,0.0896,12,296,308,Warm
5387,2011-08-17,3,0,8,8,0,3,1,1,0.7,0.6515,0.54,0.1642,35,452,487,Warm
5388,2011-08-17,3,0,8,9,0,3,1,1,0.74,0.6667,0.48,0.0896,31,178,209,Warm
5389,2011-08-17,3,0,8,10,0,3,1,1,0.76,0.6818,0.43,0.0896,27,91,118,Warm
5390,2011-08-17,3,0,8,11,0,3,1,1,0.78,0.697,0.43,0.1045,20,108,128,Warm
5391,2011-08-17,3,0,8,12,0,3,1,1,0.8,0.7273,0.43,0.2836,26,163,189,Warm
5392,2011-08-17,3,0,8,13,0,3,1,1,0.8,0.7121,0.41,0.194,38,138,176,Warm
5393,2011-08-17,3,0,8,14,0,3,1,1,0.82,0.7273,0.36,0.1642,54,138,192,Warm
5394,2011-08-17,3,0,8,15,0,3,1,1,0.8,0.7273,0.43,0.1343,42,117,159,Warm
5395,2011-08-17,3,0,8,16,0,3,1,1,0.82,0.7424,0.43,0.2239,62,238,300,Warm
5396,2011-08-17,3,0,8,17,0,3,1,1,0.8,0.7424,0.49,0.2239,46,506,552,Warm
5397,2011-08-17,3,0,8,18,0,3,1,1,0.76,0.697,0.55,0.2537,86,470,556,Warm
5398,2011-08-17,3,0,8,19,0,3,1,1,0.76,0.697,0.55,0.2239,50,297,347,Warm
5399,2011-08-17,3,0,8,20,0,3,1,1,0.74,0.6818,0.58,0.2537,37,243,280,Warm
5400,2011-08-17,3,0,8,21,0,3,1,1,0.72,0.6818,0.62,0.2239,38,192,230,Warm
5401,2011-08-17,3,0,8,22,0,3,1,1,0.7,0.6515,0.65,0.194,29,142,171,Warm
5402,2011-08-17,3,0,8,23,0,3,1,1,0.7,0.6515,0.65,0.2836,20,85,105,Warm
5403,2011-08-18,3,0,8,0,0,4,1,1,0.68,0.6364,0.65,0.1343,18,38,56,Warm
5404,2011-08-18,3,0,8,1,0,4,1,2,0.66,0.6212,0.65,0.1642,13,11,24,Warm
5405,2011-08-18,3,0,8,2,0,4,1,1,0.66,0.6212,0.65,0.2239,2,4,6,Warm
5406,2011-08-18,3,0,8,3,0,4,1,1,0.66,0.6212,0.69,0.2836,0,6,6,Warm
5407,2011-08-18,3,0,8,4,0,4,1,1,0.64,0.6061,0.73,0.2239,0,9,9,Moderate
5408,2011-08-18,3,0,8,5,0,4,1,1,0.64,0.5909,0.78,0.2836,0,27,27,Moderate
5409,2011-08-18,3,0,8,6,0,4,1,2,0.64,0.5909,0.78,0.2537,6,97,103,Moderate
5410,2011-08-18,3,0,8,7,0,4,1,1,0.64,0.5909,0.78,0.2985,19,289,308,Moderate
5411,2011-08-18,3,0,8,8,0,4,1,1,0.66,0.6212,0.74,0.2836,27,393,420,Warm
5412,2011-08-18,3,0,8,9,0,4,1,1,0.72,0.6818,0.66,0.2537,42,186,228,Warm
5413,2011-08-18,3,0,8,10,0,4,1,1,0.74,0.697,0.66,0.2537,37,92,129,Warm
5414,2011-08-18,3,0,8,11,0,4,1,1,0.76,0.7121,0.58,0.2537,44,97,141,Warm
5415,2011-08-18,3,0,8,12,0,4,1,1,0.8,0.7424,0.52,0.2836,34,139,173,Warm
5416,2011-08-18,3,0,8,13,0,4,1,1,0.8,0.7424,0.52,0.3582,33,154,187,Warm
5417,2011-08-18,3,0,8,14,0,4,1,1,0.82,0.7576,0.46,0.3284,67,115,182,Warm
5418,2011-08-18,3,0,8,15,0,4,1,1,0.8,0.7273,0.46,0.3582,56,118,174,Warm
5419,2011-08-18,3,0,8,16,0,4,1,1,0.8,0.7273,0.46,0.3582,49,196,245,Warm
5420,2011-08-18,3,0,8,17,0,4,1,3,0.8,0.7273,0.46,0.2985,44,365,409,Warm
5421,2011-08-18,3,0,8,18,0,4,1,3,0.76,0.697,0.55,0.2537,48,226,274,Warm
5422,2011-08-18,3,0,8,19,0,4,1,1,0.66,0.6061,0.83,0.1045,26,115,141,Warm
5423,2011-08-18,3,0,8,20,0,4,1,1,0.66,0.6061,0.83,0.1045,24,141,165,Warm
5424,2011-08-18,3,0,8,21,0,4,1,2,0.68,0.6364,0.79,0.0,12,137,149,Warm
5425,2011-08-18,3,0,8,22,0,4,1,2,0.7,0.6667,0.74,0.1045,18,117,135,Warm
5426,2011-08-18,3,0,8,23,0,4,1,2,0.7,0.6667,0.74,0.1343,20,94,114,Warm
5427,2011-08-19,3,0,8,0,0,5,1,3,0.68,0.6364,0.69,0.194,9,53,62,Warm
5428,2011-08-19,3,0,8,1,0,5,1,3,0.64,0.5758,0.89,0.0,1,19,20,Moderate
5429,2011-08-19,3,0,8,2,0,5,1,3,0.64,0.5758,0.83,0.0,0,8,8,Moderate
5430,2011-08-19,3,0,8,3,0,5,1,1,0.64,0.5909,0.78,0.0,2,1,3,Moderate
5431,2011-08-19,3,0,8,4,0,5,1,1,0.64,0.5758,0.83,0.0,1,7,8,Moderate
5432,2011-08-19,3,0,8,5,0,5,1,1,0.64,0.5758,0.83,0.0,1,16,17,Moderate
5433,2011-08-19,3,0,8,6,0,5,1,1,0.64,0.5758,0.83,0.0,2,91,93,Moderate
5434,2011-08-19,3,0,8,7,0,5,1,2,0.66,0.6061,0.83,0.0896,12,251,263,Warm
5435,2011-08-19,3,0,8,8,0,5,1,2,0.66,0.6061,0.83,0.0,30,368,398,Warm
5436,2011-08-19,3,0,8,9,0,5,1,1,0.7,0.6515,0.65,0.1343,31,187,218,Warm
5437,2011-08-19,3,0,8,10,0,5,1,1,0.72,0.6818,0.62,0.0896,57,108,165,Warm
5438,2011-08-19,3,0,8,11,0,5,1,2,0.72,0.6818,0.66,0.0896,45,120,165,Warm
5439,2011-08-19,3,0,8,12,0,5,1,2,0.74,0.6818,0.62,0.0896,54,168,222,Warm
5440,2011-08-19,3,0,8,13,0,5,1,2,0.76,0.7121,0.62,0.194,63,169,232,Warm
5441,2011-08-19,3,0,8,14,0,5,1,1,0.78,0.7273,0.55,0.194,78,142,220,Warm
5442,2011-08-19,3,0,8,15,0,5,1,1,0.8,0.7424,0.49,0.1045,66,156,222,Warm
5443,2011-08-19,3,0,8,16,0,5,1,1,0.8,0.7424,0.49,0.0,66,261,327,Warm
5444,2011-08-19,3,0,8,17,0,5,1,1,0.76,0.7121,0.58,0.5224,85,442,527,Warm
5445,2011-08-19,3,0,8,18,0,5,1,1,0.76,0.7121,0.58,0.5224,88,337,425,Warm
5446,2011-08-19,3,0,8,19,0,5,1,3,0.62,0.5909,0.73,0.4627,33,132,165,Moderate
5447,2011-08-19,3,0,8,20,0,5,1,3,0.62,0.5758,0.83,0.2985,12,46,58,Moderate
5448,2011-08-19,3,0,8,21,0,5,1,1,0.62,0.5758,0.83,0.1343,18,89,107,Moderate
5449,2011-08-19,3,0,8,22,0,5,1,1,0.6,0.5455,0.88,0.1343,25,97,122,Moderate
5450,2011-08-19,3,0,8,23,0,5,1,2,0.6,0.5455,0.88,0.0896,18,88,106,Moderate
5451,2011-08-20,3,0,8,0,0,6,0,1,0.6,0.5455,0.88,0.0,21,107,128,Moderate
5452,2011-08-20,3,0,8,1,0,6,0,1,0.62,0.5758,0.83,0.0,12,35,47,Moderate
5453,2011-08-20,3,0,8,2,0,6,0,1,0.62,0.5909,0.78,0.0,10,59,69,Moderate
5454,2011-08-20,3,0,8,3,0,6,0,1,0.62,0.5909,0.78,0.0,9,42,51,Moderate
5455,2011-08-20,3,0,8,4,0,6,0,2,0.6,0.5455,0.88,0.0,1,6,7,Moderate
5456,2011-08-20,3,0,8,5,0,6,0,1,0.6,0.5606,0.83,0.0,0,8,8,Moderate
5457,2011-08-20,3,0,8,6,0,6,0,2,0.6,0.5606,0.83,0.1343,6,18,24,Moderate
5458,2011-08-20,3,0,8,7,0,6,0,1,0.62,0.5758,0.83,0.0,8,36,44,Moderate
5459,2011-08-20,3,0,8,8,0,6,0,1,0.66,0.6212,0.69,0.0,27,106,133,Warm
5460,2011-08-20,3,0,8,9,0,6,0,1,0.7,0.6515,0.65,0.0,51,139,190,Warm
5461,2011-08-20,3,0,8,10,0,6,0,1,0.72,0.6818,0.62,0.1045,114,192,306,Warm
5462,2011-08-20,3,0,8,11,0,6,0,1,0.72,0.6667,0.58,0.0,115,223,338,Warm
5463,2011-08-20,3,0,8,12,0,6,0,1,0.74,0.6818,0.58,0.1343,156,253,409,Warm
5464,2011-08-20,3,0,8,13,0,6,0,1,0.76,0.697,0.55,0.1343,158,220,378,Warm
5465,2011-08-20,3,0,8,14,0,6,0,1,0.8,0.7424,0.49,0.194,147,228,375,Warm
5466,2011-08-20,3,0,8,15,0,6,0,1,0.8,0.7273,0.43,0.194,175,215,390,Warm
5467,2011-08-20,3,0,8,16,0,6,0,1,0.8,0.7273,0.46,0.194,151,222,373,Warm
5468,2011-08-20,3,0,8,17,0,6,0,1,0.8,0.7424,0.49,0.194,180,203,383,Warm
5469,2011-08-20,3,0,8,18,0,6,0,1,0.76,0.7121,0.58,0.2537,169,225,394,Warm
5470,2011-08-20,3,0,8,19,0,6,0,1,0.74,0.6818,0.62,0.194,109,182,291,Warm
5471,2011-08-20,3,0,8,20,0,6,0,1,0.74,0.6818,0.62,0.2239,78,170,248,Warm
5472,2011-08-20,3,0,8,21,0,6,0,1,0.72,0.6818,0.7,0.2239,81,144,225,Warm
5473,2011-08-20,3,0,8,22,0,6,0,2,0.7,0.6667,0.74,0.194,77,146,223,Warm
5474,2011-08-20,3,0,8,23,0,6,0,1,0.7,0.6667,0.74,0.1343,59,98,157,Warm
5475,2011-08-21,3,0,8,0,0,0,0,1,0.7,0.6667,0.74,0.194,6,68,74,Warm
5476,2011-08-21,3,0,8,1,0,0,0,1,0.68,0.6364,0.79,0.2239,17,69,86,Warm
5477,2011-08-21,3,0,8,2,0,0,0,1,0.68,0.6364,0.79,0.194,13,51,64,Warm
5478,2011-08-21,3,0,8,3,0,0,0,1,0.66,0.6061,0.83,0.2239,25,26,51,Warm
5479,2011-08-21,3,0,8,4,0,0,0,1,0.68,0.6364,0.83,0.2239,1,5,6,Warm
5480,2011-08-21,3,0,8,5,0,0,0,1,0.66,0.5909,0.89,0.2985,0,8,8,Warm
5481,2011-08-21,3,0,8,6,0,0,0,1,0.66,0.5909,0.89,0.2836,4,10,14,Warm
5482,2011-08-21,3,0,8,7,0,0,0,1,0.68,0.6364,0.83,0.2985,12,19,31,Warm
5483,2011-08-21,3,0,8,8,0,0,0,1,0.7,0.6667,0.79,0.2239,30,62,92,Warm
5484,2011-08-21,3,0,8,9,0,0,0,1,0.72,0.697,0.74,0.2239,80,151,231,Warm
5485,2011-08-21,3,0,8,10,0,0,0,1,0.74,0.7121,0.74,0.2537,97,177,274,Warm
5486,2011-08-21,3,0,8,11,0,0,0,1,0.8,0.7879,0.63,0.2836,132,181,313,Warm
5487,2011-08-21,3,0,8,12,0,0,0,1,0.82,0.803,0.59,0.2836,135,239,374,Warm
5488,2011-08-21,3,0,8,13,0,0,0,1,0.8,0.7727,0.59,0.4179,94,216,310,Warm
5489,2011-08-21,3,0,8,14,0,0,0,3,0.7,0.6667,0.79,0.3881,78,157,235,Warm
5490,2011-08-21,3,0,8,15,0,0,0,1,0.7,0.6667,0.84,0.2836,17,51,68,Warm
5491,2011-08-21,3,0,8,16,0,0,0,1,0.72,0.697,0.79,0.1642,97,161,258,Warm
5492,2011-08-21,3,0,8,17,0,0,0,1,0.72,0.697,0.79,0.1343,91,179,270,Warm
5493,2011-08-21,3,0,8,18,0,0,0,1,0.72,0.697,0.79,0.2537,96,215,311,Warm
5494,2011-08-21,3,0,8,19,0,0,0,1,0.72,0.6818,0.7,0.2537,81,201,282,Warm
5495,2011-08-21,3,0,8,20,0,0,0,1,0.7,0.6667,0.79,0.2537,41,140,181,Warm
5496,2011-08-21,3,0,8,21,0,0,0,1,0.7,0.6667,0.79,0.2537,45,93,138,Warm
5497,2011-08-21,3,0,8,22,0,0,0,2,0.7,0.6667,0.79,0.194,37,97,134,Warm
5498,2011-08-21,3,0,8,23,0,0,0,1,0.7,0.6667,0.74,0.1642,20,48,68,Warm
5499,2011-08-22,3,0,8,0,0,1,1,1,0.68,0.6364,0.79,0.1642,18,22,40,Warm
5500,2011-08-22,3,0,8,1,0,1,1,1,0.68,0.6364,0.79,0.0896,8,13,21,Warm
5501,2011-08-22,3,0,8,2,0,1,1,2,0.7,0.6515,0.65,0.1045,2,6,8,Warm
5502,2011-08-22,3,0,8,3,0,1,1,3,0.7,0.6515,0.65,0.1343,0,5,5,Warm
5503,2011-08-22,3,0,8,4,0,1,1,1,0.68,0.6364,0.65,0.194,2,10,12,Warm
5504,2011-08-22,3,0,8,5,0,1,1,1,0.66,0.6212,0.65,0.3582,1,23,24,Warm
5505,2011-08-22,3,0,8,6,0,1,1,1,0.66,0.6212,0.61,0.2985,6,106,112,Warm
5506,2011-08-22,3,0,8,7,0,1,1,1,0.66,0.6212,0.61,0.3284,11,270,281,Warm
5507,2011-08-22,3,0,8,8,0,1,1,1,0.66,0.6212,0.61,0.3284,20,331,351,Warm
5508,2011-08-22,3,0,8,9,0,1,1,1,0.68,0.6364,0.54,0.2537,36,151,187,Warm
5509,2011-08-22,3,0,8,10,0,1,1,1,0.7,0.6515,0.48,0.2836,36,85,121,Warm
5510,2011-08-22,3,0,8,11,0,1,1,1,0.72,0.6515,0.34,0.3284,46,85,131,Warm
5511,2011-08-22,3,0,8,12,0,1,1,1,0.74,0.6515,0.35,0.3881,54,153,207,Warm
5512,2011-08-22,3,0,8,13,0,1,1,1,0.74,0.6515,0.3,0.4627,47,158,205,Warm
5513,2011-08-22,3,0,8,14,0,1,1,1,0.74,0.6515,0.3,0.3881,88,137,225,Warm
5514,2011-08-22,3,0,8,15,0,1,1,1,0.74,0.6515,0.3,0.2985,72,127,199,Warm
5515,2011-08-22,3,0,8,16,0,1,1,1,0.74,0.6515,0.3,0.3881,66,254,320,Warm
5516,2011-08-22,3,0,8,17,0,1,1,1,0.74,0.6515,0.27,0.3284,82,509,591,Warm
5517,2011-08-22,3,0,8,18,0,1,1,1,0.72,0.6515,0.28,0.2985,72,537,609,Warm
5518,2011-08-22,3,0,8,19,0,1,1,1,0.7,0.6364,0.3,0.2836,66,350,416,Warm
5519,2011-08-22,3,0,8,20,0,1,1,1,0.66,0.6212,0.34,0.194,21,247,268,Warm
5520,2011-08-22,3,0,8,21,0,1,1,1,0.64,0.6212,0.38,0.194,28,180,208,Moderate
5521,2011-08-22,3,0,8,22,0,1,1,1,0.64,0.6212,0.38,0.2985,32,121,153,Moderate
5522,2011-08-22,3,0,8,23,0,1,1,1,0.62,0.6212,0.41,0.2537,19,45,64,Moderate
5523,2011-08-23,3,0,8,0,0,2,1,1,0.6,0.6212,0.43,0.194,13,22,35,Moderate
5524,2011-08-23,3,0,8,1,0,2,1,1,0.58,0.5455,0.49,0.194,6,13,19,Moderate
5525,2011-08-23,3,0,8,2,0,2,1,1,0.56,0.5303,0.52,0.194,2,4,6,Moderate
5526,2011-08-23,3,0,8,3,0,2,1,1,0.56,0.5303,0.52,0.2836,2,4,6,Moderate
5527,2011-08-23,3,0,8,4,0,2,1,1,0.54,0.5152,0.56,0.1642,0,5,5,Moderate
5528,2011-08-23,3,0,8,5,0,2,1,1,0.54,0.5152,0.56,0.194,1,35,36,Moderate
5529,2011-08-23,3,0,8,6,0,2,1,1,0.54,0.5152,0.6,0.194,3,111,114,Moderate
5530,2011-08-23,3,0,8,7,0,2,1,1,0.6,0.6212,0.49,0.194,11,333,344,Moderate
5531,2011-08-23,3,0,8,8,0,2,1,2,0.62,0.6212,0.5,0.0,43,461,504,Moderate
5532,2011-08-23,3,0,8,9,0,2,1,2,0.66,0.6212,0.44,0.0,34,191,225,Warm
5533,2011-08-23,3,0,8,10,0,2,1,1,0.7,0.6364,0.37,0.0,56,92,148,Warm
5534,2011-08-23,3,0,8,11,0,2,1,1,0.7,0.6364,0.34,0.1045,62,124,186,Warm
5535,2011-08-23,3,0,8,12,0,2,1,1,0.7,0.6364,0.39,0.0896,60,177,237,Warm
5536,2011-08-23,3,0,8,13,0,2,1,1,0.72,0.6515,0.3,0.1045,70,164,234,Warm
5537,2011-08-23,3,0,8,14,0,2,1,1,0.72,0.6515,0.3,0.0896,149,502,651,Warm
5538,2011-08-23,3,0,8,15,0,2,1,1,0.72,0.6515,0.34,0.2239,178,423,601,Warm
5539,2011-08-23,3,0,8,16,0,2,1,1,0.72,0.6515,0.32,0.1343,133,311,444,Warm
5540,2011-08-23,3,0,8,17,0,2,1,1,0.72,0.6515,0.34,0.2239,133,339,472,Warm
5541,2011-08-23,3,0,8,18,0,2,1,1,0.72,0.6515,0.34,0.194,98,421,519,Warm
5542,2011-08-23,3,0,8,19,0,2,1,1,0.66,0.6212,0.5,0.2239,70,297,367,Warm
5543,2011-08-23,3,0,8,20,0,2,1,1,0.64,0.6212,0.53,0.2537,54,206,260,Moderate
5544,2011-08-23,3,0,8,21,0,2,1,1,0.62,0.6212,0.57,0.0,38,173,211,Moderate
5545,2011-08-23,3,0,8,22,0,2,1,1,0.62,0.6212,0.57,0.1343,46,145,191,Moderate
5546,2011-08-23,3,0,8,23,0,2,1,1,0.62,0.6061,0.61,0.1343,19,61,80,Moderate
5547,2011-08-24,3,0,8,0,0,3,1,1,0.62,0.6212,0.57,0.1343,9,29,38,Moderate
5548,2011-08-24,3,0,8,1,0,3,1,1,0.6,0.6061,0.6,0.1045,7,17,24,Moderate
5549,2011-08-24,3,0,8,2,0,3,1,1,0.58,0.5455,0.68,0.1343,2,4,6,Moderate
5550,2011-08-24,3,0,8,3,0,3,1,1,0.58,0.5455,0.68,0.1343,0,1,1,Moderate
5551,2011-08-24,3,0,8,4,0,3,1,1,0.56,0.5303,0.73,0.1045,0,7,7,Moderate
5552,2011-08-24,3,0,8,5,0,3,1,1,0.56,0.5303,0.73,0.1045,1,26,27,Moderate
5553,2011-08-24,3,0,8,6,0,3,1,1,0.56,0.5303,0.73,0.0,3,105,108,Moderate
5554,2011-08-24,3,0,8,7,0,3,1,1,0.6,0.6061,0.64,0.0896,11,297,308,Moderate
5555,2011-08-24,3,0,8,8,0,3,1,1,0.62,0.6061,0.69,0.1343,32,436,468,Moderate
5556,2011-08-24,3,0,8,9,0,3,1,1,0.64,0.6061,0.69,0.2537,44,169,213,Moderate
5557,2011-08-24,3,0,8,10,0,3,1,1,0.7,0.6515,0.58,0.2836,51,95,146,Warm
5558,2011-08-24,3,0,8,11,0,3,1,1,0.72,0.6667,0.54,0.2985,57,128,185,Warm
5559,2011-08-24,3,0,8,12,0,3,1,1,0.74,0.6818,0.55,0.3284,60,175,235,Warm
5560,2011-08-24,3,0,8,13,0,3,1,1,0.76,0.6818,0.48,0.4179,56,180,236,Warm
5561,2011-08-24,3,0,8,14,0,3,1,1,0.76,0.6818,0.48,0.4179,77,127,204,Warm
5562,2011-08-24,3,0,8,15,0,3,1,1,0.76,0.6818,0.48,0.4478,63,141,204,Warm
5563,2011-08-24,3,0,8,16,0,3,1,1,0.76,0.697,0.52,0.4179,49,222,271,Warm
5564,2011-08-24,3,0,8,17,0,3,1,1,0.76,0.697,0.52,0.3582,83,484,567,Warm
5565,2011-08-24,3,0,8,18,0,3,1,1,0.74,0.6818,0.55,0.2985,102,519,621,Warm
5566,2011-08-24,3,0,8,19,0,3,1,1,0.74,0.6818,0.55,0.2985,93,347,440,Warm
5567,2011-08-24,3,0,8,20,0,3,1,1,0.72,0.6667,0.58,0.2985,45,289,334,Warm
5568,2011-08-24,3,0,8,21,0,3,1,1,0.7,0.6515,0.61,0.3582,47,189,236,Warm
5569,2011-08-24,3,0,8,22,0,3,1,1,0.7,0.6515,0.65,0.3582,41,140,181,Warm
5570,2011-08-24,3,0,8,23,0,3,1,1,0.68,0.6364,0.69,0.2985,16,54,70,Warm
5571,2011-08-25,3,0,8,0,0,4,1,1,0.68,0.6364,0.74,0.2985,11,41,52,Warm
5572,2011-08-25,3,0,8,1,0,4,1,1,0.68,0.6364,0.69,0.3881,4,11,15,Warm
5573,2011-08-25,3,0,8,2,0,4,1,1,0.68,0.6364,0.69,0.3881,3,2,5,Warm
5574,2011-08-25,3,0,8,3,0,4,1,1,0.66,0.6212,0.74,0.3284,2,2,4,Warm
5575,2011-08-25,3,0,8,4,0,4,1,1,0.66,0.6061,0.78,0.3881,1,6,7,Warm
5576,2011-08-25,3,0,8,5,0,4,1,1,0.66,0.6061,0.83,0.4179,1,25,26,Warm
5577,2011-08-25,3,0,8,6,0,4,1,1,0.66,0.6061,0.83,0.3284,1,101,102,Warm
5578,2011-08-25,3,0,8,7,0,4,1,2,0.68,0.6364,0.79,0.3284,17,296,313,Warm
5579,2011-08-25,3,0,8,8,0,4,1,2,0.7,0.6667,0.74,0.2985,23,461,484,Warm
5580,2011-08-25,3,0,8,9,0,4,1,2,0.72,0.6818,0.7,0.2985,21,141,162,Warm
5581,2011-08-25,3,0,8,10,0,4,1,2,0.74,0.697,0.66,0.2985,37,105,142,Warm
5582,2011-08-25,3,0,8,11,0,4,1,3,0.7,0.6667,0.79,0.0,39,112,151,Warm
5583,2011-08-25,3,0,8,12,0,4,1,3,0.7,0.6667,0.79,0.0,9,32,41,Warm
5584,2011-08-25,3,0,8,13,0,4,1,1,0.7,0.6667,0.79,0.1045,7,30,37,Warm
5585,2011-08-25,3,0,8,14,0,4,1,2,0.72,0.697,0.74,0.0,27,86,113,Warm
5586,2011-08-25,3,0,8,15,0,4,1,2,0.74,0.697,0.7,0.0,28,104,132,Warm
5587,2011-08-25,3,0,8,16,0,4,1,1,0.72,0.7121,0.84,0.0,16,105,121,Warm
5588,2011-08-25,3,0,8,17,0,4,1,1,0.72,0.7121,0.84,0.0,28,284,312,Warm
5589,2011-08-25,3,0,8,18,0,4,1,2,0.72,0.7121,0.84,0.1343,31,377,408,Warm
5590,2011-08-25,3,0,8,19,0,4,1,2,0.66,0.6061,0.78,0.3284,31,241,272,Warm
5591,2011-08-25,3,0,8,20,0,4,1,1,0.64,0.5909,0.78,0.3582,33,192,225,Moderate
5592,2011-08-25,3,0,8,21,0,4,1,1,0.64,0.5909,0.78,0.2836,29,158,187,Moderate
5593,2011-08-25,3,0,8,22,0,4,1,1,0.62,0.5758,0.83,0.0,21,126,147,Moderate
5594,2011-08-25,3,0,8,23,0,4,1,1,0.62,0.5758,0.83,0.0896,15,69,84,Moderate
5595,2011-08-26,3,0,8,0,0,5,1,1,0.62,0.5758,0.83,0.1343,9,42,51,Moderate
5596,2011-08-26,3,0,8,1,0,5,1,1,0.62,0.5758,0.83,0.0,10,13,23,Moderate
5597,2011-08-26,3,0,8,2,0,5,1,1,0.62,0.5606,0.88,0.1343,4,16,20,Moderate
5598,2011-08-26,3,0,8,3,0,5,1,1,0.6,0.5455,0.88,0.1045,3,8,11,Moderate
5599,2011-08-26,3,0,8,4,0,5,1,1,0.62,0.5606,0.88,0.0,2,6,8,Moderate
5600,2011-08-26,3,0,8,5,0,5,1,2,0.62,0.5606,0.88,0.0,3,23,26,Moderate
5601,2011-08-26,3,0,8,6,0,5,1,1,0.62,0.5606,0.88,0.0,5,100,105,Moderate
5602,2011-08-26,3,0,8,7,0,5,1,1,0.64,0.5758,0.83,0.0,3,263,266,Moderate
5603,2011-08-26,3,0,8,8,0,5,1,1,0.66,0.6061,0.83,0.1045,17,387,404,Warm
5604,2011-08-26,3,0,8,9,0,5,1,1,0.7,0.6667,0.74,0.0,39,191,230,Warm
5605,2011-08-26,3,0,8,10,0,5,1,1,0.74,0.697,0.66,0.0896,34,89,123,Warm
5606,2011-08-26,3,0,8,11,0,5,1,2,0.76,0.7121,0.62,0.0,63,151,214,Warm
5607,2011-08-26,3,0,8,12,0,5,1,2,0.76,0.7273,0.66,0.1045,70,173,243,Warm
5608,2011-08-26,3,0,8,13,0,5,1,2,0.78,0.7424,0.59,0.1045,72,165,237,Warm
5609,2011-08-26,3,0,8,14,0,5,1,1,0.8,0.7727,0.59,0.0,55,164,219,Warm
5610,2011-08-26,3,0,8,15,0,5,1,2,0.8,0.7727,0.59,0.194,53,196,249,Warm
5611,2011-08-26,3,0,8,16,0,5,1,1,0.78,0.7424,0.62,0.1045,50,293,343,Warm
5612,2011-08-26,3,0,8,17,0,5,1,1,0.74,0.7121,0.74,0.2537,56,433,489,Warm
5613,2011-08-26,3,0,8,18,0,5,1,2,0.74,0.7121,0.74,0.1343,40,370,410,Warm
5614,2011-08-26,3,0,8,19,0,5,1,1,0.72,0.697,0.79,0.1045,55,235,290,Warm
5615,2011-08-26,3,0,8,20,0,5,1,1,0.72,0.697,0.79,0.0896,39,183,222,Warm
5616,2011-08-26,3,0,8,21,0,5,1,1,0.72,0.697,0.79,0.1642,38,152,190,Warm
5617,2011-08-26,3,0,8,22,0,5,1,1,0.72,0.697,0.79,0.1045,26,126,152,Warm
5618,2011-08-26,3,0,8,23,0,5,1,1,0.7,0.6667,0.84,0.0896,22,114,136,Warm
5619,2011-08-27,3,0,8,0,0,6,0,1,0.7,0.6667,0.84,0.1045,33,112,145,Warm
5620,2011-08-27,3,0,8,1,0,6,0,1,0.7,0.6667,0.84,0.1642,13,51,64,Warm
5621,2011-08-27,3,0,8,2,0,6,0,1,0.7,0.6667,0.84,0.194,18,59,77,Warm
5622,2011-08-27,3,0,8,3,0,6,0,2,0.7,0.6667,0.84,0.2239,8,22,30,Warm
5623,2011-08-27,3,0,8,4,0,6,0,2,0.7,0.6667,0.84,0.2239,1,3,4,Warm
5624,2011-08-27,3,0,8,5,0,6,0,2,0.7,0.6667,0.84,0.2985,1,11,12,Warm
5625,2011-08-27,3,0,8,6,0,6,0,2,0.7,0.6667,0.84,0.2985,3,15,18,Warm
5626,2011-08-27,3,0,8,7,0,6,0,2,0.7,0.6667,0.84,0.3582,2,26,28,Warm
5627,2011-08-27,3,0,8,8,0,6,0,2,0.7,0.6667,0.84,0.2537,14,62,76,Warm
5628,2011-08-27,3,0,8,9,0,6,0,2,0.7,0.6667,0.84,0.4179,28,128,156,Warm
5629,2011-08-27,3,0,8,10,0,6,0,2,0.7,0.6667,0.79,0.4627,51,154,205,Warm
5630,2011-08-27,3,0,8,11,0,6,0,3,0.66,0.5909,0.89,0.4179,15,73,88,Warm
5631,2011-08-27,3,0,8,12,0,6,0,3,0.66,0.6061,0.83,0.4925,11,65,76,Warm
5632,2011-08-27,3,0,8,13,0,6,0,3,0.66,0.6061,0.83,0.3881,10,33,43,Warm
5633,2011-08-27,3,0,8,14,0,6,0,3,0.64,0.5758,0.89,0.5522,4,19,23,Moderate
5634,2011-08-27,3,0,8,15,0,6,0,3,0.64,0.5758,0.89,0.5522,2,28,30,Moderate
5635,2011-08-27,3,0,8,16,0,6,0,3,0.64,0.5758,0.89,0.5224,10,14,24,Moderate
5636,2011-08-27,3,0,8,17,0,6,0,3,0.64,0.5758,0.89,0.194,2,14,16,Moderate
5637,2011-08-28,3,0,8,7,0,0,0,3,0.62,0.5758,0.83,0.3582,0,1,1,Moderate
5638,2011-08-28,3,0,8,8,0,0,0,3,0.62,0.5758,0.83,0.4179,2,6,8,Moderate
